# Production IEEE 802.11 LDPC packet-error-rate calibration for a 1458-byte reference PSDU.
# Curves were measured for HT mixed and VHT-SU with NSS=1 and are duplicated for 20 and 40 MHz.
# AWGN without fading. SNR is post-reception signal-to-noise ratio over occupied data+pilot tones,
# excluding null/guard/DC tones; this SNR definition is bandwidth-independent.
# Each point represents 40000 simulated packets and PER is conditional on successful PHY-header reception.
# Nonzero PER samples are retained exactly as supplied. The supplied 0.00000 samples are represented by
# (errors + 0.5) / (packets + 1) = 0.5 / 40001 = 1.2499687507812305e-05.
# Rows contain the canonical LDPC planner signature for the 1458-byte calibration PSDU and are sorted canonically.
# Modeling assumption used by Ieee80211LdpcPerTable: for a calibrated format/bandwidth/per-stream-MCS tuple,
# this PER-vs-SNR curve is reused unchanged for every standard LDPC payload/codeword size and for NSS>1
# ideal separated streams. HT MCS 8..31 reuse MCS modulo 8; VHT uses its MCS unchanged.
# Structural planner columns are strict validation/provenance, not lookup keys.
# Interpolation is linear in log10(PER) versus SNR in dB; no interpolation is performed across calibrated-mode keys.
phy_format,bandwidth_mhz,mcs,nss,number_of_codewords,ldpc_codeword_length,shortened_bits,punctured_bits,repeated_bits,snr_db,per
VHT_SU,40,3,1,13,1944,756,756,0,8.75,0.00040
VHT_SU,40,3,1,13,1944,756,756,0,9.00,0.00011
VHT_SU,40,3,1,13,1944,756,756,0,9.25,0.00002
VHT_SU,40,3,1,13,1944,756,756,0,9.50,1.2499687507812305e-05
VHT_SU,40,4,1,9,1944,1134,378,0,10.00,1.00000
VHT_SU,40,4,1,9,1944,1134,378,0,10.25,0.99310
VHT_SU,40,4,1,9,1944,1134,378,0,10.50,0.70890
VHT_SU,40,4,1,9,1944,1134,378,0,10.75,0.24720
VHT_SU,40,4,1,9,1944,1134,378,0,11.00,0.04700
VHT_SU,40,4,1,9,1944,1134,378,0,11.25,0.00590
VHT_SU,40,4,1,9,1944,1134,378,0,11.50,0.00091
VHT_SU,40,4,1,9,1944,1134,378,0,11.75,0.00016
VHT_SU,40,4,1,9,1944,1134,378,0,12.00,0.00003
VHT_SU,40,4,1,9,1944,1134,378,0,12.25,1.2499687507812305e-05
VHT_SU,40,5,1,10,1944,864,432,0,14.00,1.00000
VHT_SU,40,5,1,10,1944,864,432,0,14.25,0.99700
VHT_SU,40,5,1,10,1944,864,432,0,14.50,0.91830
VHT_SU,40,5,1,10,1944,864,432,0,14.75,0.53790
VHT_SU,40,5,1,10,1944,864,432,0,15.00,0.16610
VHT_SU,40,5,1,10,1944,864,432,0,15.25,0.03690
VHT_SU,40,5,1,10,1944,864,432,0,15.50,0.00650
VHT_SU,40,5,1,10,1944,864,432,0,15.75,0.00100
VHT_SU,40,5,1,10,1944,864,432,0,16.00,0.00031
VHT_SU,40,5,1,10,1944,864,432,0,16.25,0.00005
VHT_SU,40,5,1,10,1944,864,432,0,16.50,1.2499687507812305e-05
VHT_SU,40,6,1,9,1944,972,324,0,15.50,1.00000
VHT_SU,40,6,1,9,1944,972,324,0,15.75,0.98140
VHT_SU,40,6,1,9,1944,972,324,0,16.00,0.73930
VHT_SU,40,6,1,9,1944,972,324,0,16.25,0.33110
VHT_SU,40,6,1,9,1944,972,324,0,16.50,0.08150
VHT_SU,40,6,1,9,1944,972,324,0,16.75,0.01620
VHT_SU,40,6,1,9,1944,972,324,0,17.00,0.00270
VHT_SU,40,6,1,9,1944,972,324,0,17.25,0.00052
VHT_SU,40,6,1,9,1944,972,324,0,17.50,0.00005
VHT_SU,40,6,1,9,1944,972,324,0,17.75,0.00003
VHT_SU,40,6,1,9,1944,972,324,0,18.00,1.2499687507812305e-05
VHT_SU,40,7,1,8,1944,1080,216,0,17.00,1.00000
VHT_SU,40,7,1,8,1944,1080,216,0,17.25,0.97750
VHT_SU,40,7,1,8,1944,1080,216,0,17.50,0.73980
VHT_SU,40,7,1,8,1944,1080,216,0,17.75,0.33190
VHT_SU,40,7,1,8,1944,1080,216,0,18.00,0.09640
VHT_SU,40,7,1,8,1944,1080,216,0,18.25,0.02180
VHT_SU,40,7,1,8,1944,1080,216,0,18.50,0.00470
VHT_SU,40,7,1,8,1944,1080,216,0,18.75,0.00087
VHT_SU,40,7,1,8,1944,1080,216,0,19.00,0.00018
VHT_SU,40,7,1,8,1944,1080,216,0,19.25,0.00003
VHT_SU,40,7,1,8,1944,1080,216,0,19.50,1.2499687507812305e-05
